source               distance_pc          molecule             radius_au            theta_arcsec         N_beam               sigma_chan_K         W_mean_UL_Kkms       Mgas_UL_Tex10K_Msun  Mgas_UL_Tex20K_Msun  Mgas_UL_Tex30K_Msun  Mgas_UL_Tex40K_Msun  status              
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
DoAr43               130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.2629               0.13768296624971618  0.011118892007544836 0.006658678230707888 0.007868145533738212 0.010115199502056752 OK                  
FPTau                130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.2344               0.12275727382629695  0.009913534753018293 0.005936835972909582 0.007015189475497285 0.009018648776272738 OK                  
Haro6-13             130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.3223               0.1687912515111583   0.013631110285400153 0.008163149462750676 0.009645885528808767 0.012400642067375019 OK                  
Haro6-28             130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.3012               0.15774100203276728  0.012738722984680505 0.007628732913994737 0.009014398762883031 0.011588809775654222 OK                  
HK-Tau               130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.3454               0.18088891800171913  0.014608084060121665 0.00874822160854509  0.010337228860225095 0.013289425287221008 OK                  
IRAS04295+2251       130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.6568               0.34397174679655224  0.027778198062211663 0.016635298067436063 0.01965689610711014  0.025270684796313718 OK                  
IRAS05555-1405       400.0                C18O                 3000.0               7.5                  1.0                  0.2393               0.3210546402094198   0.025927476508133842 0.015526971867768172 0.01834725603505714  0.02358702623307281  OK                  
UYAur                130.0                C18O                 3000.0               23.076923076923077   6.562861656678959    0.1737               0.09096816750694446  0.007346335267061767 0.004399438602791785 0.005198542712857844 0.006683188107673101 OK                  
