SourceName,gravity,conc_HCOplus__c_factor_gaussian,spec_HCOplus__Integ_Beam,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
EC92,289.04,0.391,7.914,0.92,0.05,,,
IRAS05379-0758,312.51,0.6455,0.319,-0.723,-1.037,,,
