SourceName,gravity,Envelope_status,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
EC92,2.8904,unclear,0.92,0.05,0.688,0.368,508.048
IRAS05379-0758,3.1250999999999998,unclear,-0.723,-1.037,-0.653,-0.854,1275.985
